J8515632 GPS Records(1760)					
Time Range:2019-02-02 13:20:00 To 2019-02-03 14:46:00					
NO.	GPS Time	Latitude	Longitude	Speed(KM/H)	Direction
365	2019-02-02 18:50:50	25.020632	89.316614	37	South[173]
366	2019-02-02 18:51:20	25.018012	89.316925	22	South[173]
367	2019-02-02 18:51:50	25.016338	89.317085	18	South[171]
368	2019-02-02 18:52:20	25.013929	89.317120	38	South[191]
369	2019-02-02 18:52:50	25.011216	89.316365	23	South[194]
370	2019-02-02 18:53:20	25.010000	89.316054	22	South[194]
371	2019-02-02 18:53:50	25.008227	89.315556	19	South[193]
372	2019-02-02 18:54:15	25.007505	89.315645	18	South[162]
373	2019-02-02 18:54:45	25.005934	89.316792	29	Southeast[149]
374	2019-02-02 18:54:47	25.005865	89.316934	28	East[112]
375	2019-02-02 18:55:08	25.005169	89.318427	35	Southeast[142]
376	2019-02-02 18:55:38	25.003532	89.319867	25	Southeast[119]
377	2019-02-02 18:56:08	25.002376	89.321618	30	Southeast[133]
378	2019-02-02 18:57:38	25.000425	89.323654	17	Southeast[134]
379	2019-02-02 18:58:08	24.999363	89.324872	23	Southeast[128]
380	2019-02-02 18:58:38	24.997803	89.326498	32	Southeast[139]
381	2019-02-02 18:59:08	24.995723	89.328747	45	Southeast[138]
382	2019-02-02 18:59:38	24.992923	89.331085	43	Southeast[143]
383	2019-02-02 19:00:08	24.990052	89.333103	47	Southeast[146]
384	2019-02-02 19:00:38	24.988256	89.334925	37	Southeast[133]
385	2019-02-02 19:00:51	24.987194	89.335805	40	South[166]
386	2019-02-02 19:01:21	24.985194	89.336472	29	South[167]
387	2019-02-02 19:01:51	24.982985	89.337112	33	South[174]
388	2019-02-02 19:02:21	24.981314	89.336880	22	South[181]
389	2019-02-02 19:02:51	24.978605	89.337743	44	South[161]
390	2019-02-02 19:03:21	24.975440	89.339627	48	Southeast[148]
391	2019-02-02 19:03:51	24.972949	89.341689	28	Southeast[137]
392	2019-02-02 19:04:21	24.970300	89.343014	43	South[160]
393	2019-02-02 19:04:51	24.967054	89.343983	46	South[165]
394	2019-02-02 19:05:21	24.964578	89.344400	30	South[163]
395	2019-02-02 19:05:51	24.962725	89.345236	22	Southeast[140]
396	2019-02-02 19:06:21	24.962009	89.346240	7	Southeast[135]
397	2019-02-02 19:06:51	24.961367	89.347600	27	Southeast[119]
398	2019-02-02 19:07:14	24.959458	89.348898	44	Southeast[150]
399	2019-02-02 19:07:39	24.956776	89.349156	43	South[181]
400	2019-02-02 19:08:09	24.953943	89.349405	32	South[177]
401	2019-02-02 19:08:39	24.952918	89.349414	9	South[195]
402	2019-02-02 19:09:09	24.951225	89.349316	20	South[184]
403	2019-02-02 19:10:09	24.950138	89.349343	7	Southeast[142]
404	2019-02-02 19:10:22	24.949878	89.349396	16	Southwest[226]
405	2019-02-02 19:10:52	24.947643	89.347672	45	Southwest[208]
406	2019-02-02 19:11:22	24.944903	89.346889	41	South[193]
407	2019-02-02 19:11:52	24.942140	89.346560	35	South[176]
408	2019-02-02 19:12:22	24.939398	89.346907	34	South[170]
409	2019-02-02 19:12:52	24.937223	89.347325	24	South[167]
410	2019-02-02 19:13:22	24.935072	89.347565	31	South[174]
411	2019-02-02 19:13:52	24.932432	89.347992	35	South[170]
412	2019-02-02 19:14:22	24.929896	89.348400	33	South[171]
413	2019-02-02 19:14:52	24.927294	89.348614	35	South[178]
414	2019-02-02 19:15:22	24.924332	89.348569	38	South[174]
415	2019-02-02 19:15:52	24.921169	89.349565	43	South[165]
416	2019-02-02 19:16:22	24.917932	89.350614	52	Southeast[156]
